Keyword,LV1,Search UV,PDP UV,A2C_UV,Order_UV,GMV,ASP,ARPU,Found Number,E. Items,Cluster,,
nose pin,Watches Sunglasses Jewellery,226.00,90.00,23.00,8.00,15.64,1.74,1.96,2495.00,650.00,Fashion,,
notebook,Stationery & Craft,226.00,116.00,36.00,7.00,16.59,2.07,2.37,1034926.00,1355.00,GM,,
tops for girls stylish,Fashion,226.00,66.00,5.00,1.00,2.88,2.88,2.88,28184.00,398.00,Fashion,,
steamer inhaler,Health & Beauty,226.00,122.00,39.00,15.00,95.80,5.64,6.39,1794.00,528.00,FMCG,,
shawl for men,Health & Beauty,226.00,117.00,23.00,6.00,57.64,9.61,9.61,26218.00,978.00,FMCG,,
adidas shoes,Sports & Outdoors,225.00,106.00,27.00,11.00,908.29,69.87,82.57,1164.00,1018.00,GM,,
treadmill,Medicine,226.00,137.00,38.00,8.00,4087.83,510.98,510.98,3334.00,230.00,Others,,
camera cctv,Cameras,226.00,94.00,23.00,9.00,184.30,18.43,20.48,22916.00,1018.00,EL,,
base foundation,Health & Beauty,225.00,119.00,49.00,18.00,87.00,3.35,4.83,62879.00,639.00,FMCG,,
1 rupee game winners l,Toys & Games,225.00,138.00,125.00,96.00,3.04,0.01,0.03,44.00,44.00,GM,,
iron stand folding,Laundry & Cleaning,225.00,113.00,16.00,3.00,52.95,13.24,17.65,30422.00,658.00,GM,,
in finix,Mobiles & Tablets,225.00,85.00,19.00,1.00,189.85,189.85,189.85,74819.00,430.00,EL,,
dildo for sex,Health & Beauty,225.00,24.00,0.00,0.00,0.00,0.00,0.00,6543.00,600.00,FMCG,,
decoration pieces,Furniture & Decor,225.00,60.00,4.00,1.00,5.05,5.05,5.05,187671.00,516.00,GM,,
sheesha,Furniture & Decor,225.00,10.00,0.00,0.00,0.00,0.00,0.00,47077.00,280.00,GM,,
electric stove for cooking,Kitchen & Dining,224.00,133.00,13.00,2.00,23.83,11.91,11.91,6245.00,637.00,GM,,
pepsi,Groceries,224.00,120.00,35.00,6.00,33.36,4.77,5.56,1253.00,488.00,FMCG,,
smart watch apple,TV Audio Video Gaming & Wearables,224.00,114.00,30.00,7.00,109.16,15.59,15.59,11188.00,851.00,EL,,
sex toys for men and women,Health & Beauty,224.00,29.00,0.00,0.00,0.00,0.00,0.00,6701.00,630.00,FMCG,,
motorcycle,Motors,223.00,80.00,19.00,2.00,345.15,172.58,172.58,813097.00,1764.00,GM,,
girl and boy sex xxx,Fashion,224.00,25.00,1.00,1.00,16.97,8.48,16.97,15685.00,257.00,Fashion,,
lather jackets for men,Fashion,223.00,109.00,6.00,0.00,0.00,0.00,0.00,3676.00,708.00,Fashion,,
delay spray for men,Health & Beauty,223.00,63.00,7.00,3.00,15.45,5.15,5.15,73.00,73.00,FMCG,,
fridge accessories,Kitchen & Dining,223.00,91.00,33.00,11.00,22.99,1.44,2.09,27340.00,328.00,GM,,
wedding dresses for girls,Fashion,223.00,88.00,1.00,0.00,0.00,0.00,0.00,33362.00,928.00,Fashion,,
oriflame products,Health & Beauty,223.00,81.00,14.00,4.00,27.62,6.90,6.90,737.00,686.00,FMCG,,
hoodies for boys,Fashion,222.00,98.00,18.00,6.00,57.89,8.27,9.65,8951.00,1018.00,Fashion,,
infinix smart 5,Mobiles & Tablets,222.00,94.00,44.00,20.00,2024.53,96.41,101.23,8568.00,264.00,EL,,
ladies shoes,Fashion,222.00,97.00,14.00,6.00,38.77,6.46,6.46,124440.00,1018.00,Fashion,,
feeder warmer,Mother & Baby,222.00,120.00,35.00,16.00,85.58,5.35,5.35,1327.00,454.00,FMCG,,
popit fidget toy,Toys & Games,222.00,113.00,38.00,21.00,71.71,2.99,3.41,37514.00,690.00,GM,,
contour stick,Health & Beauty,222.00,130.00,57.00,29.00,64.79,2.09,2.23,6586.00,370.00,FMCG,,
poncho for girls,Fashion,223.00,140.00,31.00,7.00,46.69,5.84,6.67,772.00,574.00,Fashion,,
playstation 4,TV Audio Video Gaming & Wearables,222.00,93.00,9.00,0.00,0.00,0.00,0.00,59498.00,394.00,EL,,
pop it fidget toy 100,Toys & Games,222.00,44.00,8.00,1.00,2.30,2.30,2.30,597.00,553.00,GM,,
pop it fidget toy rainbow,Toys & Games,222.00,95.00,33.00,14.00,57.79,3.21,4.13,2516.00,529.00,GM,,
sapphire,Fashion,222.00,85.00,19.00,6.00,133.38,13.34,22.23,21418.00,338.00,Fashion,,
knorr,Groceries,221.00,114.00,68.00,23.00,125.02,3.47,5.44,643.00,288.00,FMCG,,
boots for men,Fashion,221.00,83.00,9.00,4.00,39.60,9.90,9.90,3916.00,1018.00,Fashion,,
iron steamer,Home Appliances,221.00,99.00,19.00,10.00,156.07,15.61,15.61,10810.00,798.00,EL,,
ladies watch,Watches Sunglasses Jewellery,221.00,125.00,46.00,19.00,60.78,2.89,3.20,1558622.00,1247.00,Fashion,,
gaming keyboard,Computers & Laptops,221.00,113.00,32.00,5.00,66.17,13.23,13.23,23008.00,1420.00,EL,,
breast pump,Mother & Baby,221.00,114.00,46.00,30.00,299.40,9.07,9.98,2424.00,240.00,FMCG,,
remote control cars,Toys & Games,221.00,119.00,26.00,3.00,18.40,6.13,6.13,317176.00,589.00,GM,,
cooking oil 5 liter,Groceries,221.00,100.00,39.00,4.00,48.56,12.14,12.14,568.00,328.00,FMCG,,
wape,Motors,221.00,33.00,1.00,0.00,0.00,0.00,0.00,21702.00,168.00,GM,,
infinex,Mobiles & Tablets,221.00,81.00,25.00,5.00,1154.46,144.31,230.89,74870.00,208.00,EL,,
loreal paris,Health & Beauty,221.00,66.00,17.00,4.00,47.36,9.47,11.84,631.00,610.00,FMCG,,
men wallet,Bags and Travel,221.00,129.00,22.00,6.00,34.14,4.88,5.69,89089.00,1160.00,Fashion,,
lux,Health & Beauty,219.00,117.00,47.00,10.00,74.39,4.96,7.44,24347.00,288.00,FMCG,,
travel bag,Bags and Travel,219.00,97.00,22.00,6.00,98.16,14.02,16.36,827887.00,848.00,Fashion,,
nail paints,Health & Beauty,220.00,118.00,36.00,12.00,29.73,2.48,2.48,212625.00,418.00,FMCG,,
gym accessories,Sports & Outdoors,220.00,64.00,20.00,7.00,20.56,2.57,2.94,39143.00,788.00,GM,,
a32 samsung mobile,Mobiles & Tablets,220.00,59.00,11.00,1.00,3.03,3.03,3.03,6808.00,902.00,EL,,
redmi note 10 cover,Mobiles & Tablets,220.00,126.00,41.00,8.00,27.38,3.04,3.42,24948.00,1083.00,EL,,
wall paper,Furniture & Decor,220.00,90.00,20.00,8.00,23.29,2.91,2.91,97099.00,1179.00,GM,,
heater gas,Home Appliances,219.00,86.00,18.00,4.00,66.22,16.56,16.56,23266.00,1018.00,EL,,
bluetooth airpods,TV Audio Video Gaming & Wearables,219.00,92.00,23.00,7.00,51.82,5.76,7.40,4150.00,389.00,EL,,
blood pressure monitor,Health & Beauty,219.00,103.00,35.00,10.00,180.30,18.03,18.03,17443.00,270.00,FMCG,,
wooden clock,Furniture & Décor,219.00,154.00,87.00,50.00,176.31,3.21,3.53,22314.00,834.00,GM,,
mic for youtube,TV Audio Video Gaming & Wearables,218.00,106.00,44.00,24.00,87.26,3.64,3.64,75538.00,270.00,EL,,
clutch for girls,Bags and Travel,220.00,103.00,17.00,5.00,19.08,3.82,3.82,7921.00,1018.00,Fashion,,
brushes set,Health & Beauty,219.00,138.00,65.00,21.00,83.22,3.08,3.96,765962.00,504.00,FMCG,,
face cleaner machine,Health & Beauty,218.00,94.00,37.00,14.00,64.65,4.31,4.62,4196.00,420.00,FMCG,,
cube,Toys & Games,218.00,113.00,54.00,12.00,31.64,2.64,2.64,58287.00,458.00,GM,,
gadgets for boys,Medicine,218.00,52.00,6.00,1.00,2.38,2.38,2.38,3153.00,795.00,Others,,
sweater,Fashion,217.00,57.00,10.00,2.00,11.24,5.62,5.62,105937.00,838.00,Fashion,,
neck pillow,Bags and Travel,217.00,131.00,61.00,32.00,154.52,4.18,4.83,10749.00,918.00,Fashion,,
infinix hot 11s,Mobiles & Tablets,217.00,129.00,45.00,10.00,1570.48,120.81,157.05,10176.00,96.00,EL,,
khaddar suits for women,Fashion,217.00,104.00,11.00,4.00,53.11,13.28,13.28,2954.00,540.00,Fashion,,
dancing cactus,Toys & Games,217.00,125.00,43.00,15.00,164.51,10.97,10.97,586.00,249.00,GM,,
ps4 controller,TV Audio Video Gaming & Wearables,217.00,104.00,24.00,7.00,95.37,11.92,13.62,24270.00,538.00,EL,,
buds,TV Audio Video Gaming & Wearables,217.00,128.00,34.00,13.00,302.26,18.89,23.25,315006.00,1782.00,EL,,
i phone 11,Mobiles & Tablets,216.00,35.00,2.00,0.00,0.00,0.00,0.00,263042.00,168.00,EL,,
locket for girls,Watches Sunglasses Jewellery,216.00,112.00,18.00,7.00,18.29,2.29,2.61,61574.00,1111.00,Fashion,,
locket,Watches Sunglasses Jewellery,216.00,85.00,22.00,7.00,21.34,2.37,3.05,445710.00,967.00,Fashion,,
haylou,TV Audio Video Gaming & Wearables,216.00,110.00,28.00,8.00,240.42,24.04,30.05,1440.00,408.00,EL,,
i phone x max,Mobiles & Tablets,216.00,44.00,3.00,0.00,0.00,0.00,0.00,45001.00,210.00,EL,,
kashees all makeup products,Health & Beauty,216.00,70.00,3.00,2.00,6.54,2.18,3.27,60.00,60.00,FMCG,,
bts hoodies for girls,Fashion,216.00,119.00,40.00,19.00,148.23,6.18,7.80,21304.00,403.00,Fashion,,
redmi airdots,TV Audio Video Gaming & Wearables,216.00,131.00,40.00,21.00,238.90,11.38,11.38,2071.00,159.00,EL,,
tecno pova 2,Mobiles & Tablets,216.00,146.00,49.00,10.00,9305.12,332.33,930.51,1056.00,576.00,EL,,
water heater,Home Appliances,216.00,110.00,26.00,11.00,85.28,7.11,7.75,15109.00,948.00,EL,,
spiffy,Fashion,216.00,50.00,3.00,0.00,0.00,0.00,0.00,40.00,40.00,Fashion,,
nail polish set,Health & Beauty,215.00,141.00,35.00,12.00,32.04,2.67,2.67,207932.00,380.00,FMCG,,
face mask for glowing skin,Health & Beauty,215.00,79.00,26.00,9.00,35.62,3.24,3.96,75271.00,440.00,FMCG,,
daraz 12 12 sale,Fashion,215.00,53.00,9.00,2.00,6.09,3.05,3.05,100770.00,1623.00,Fashion,,
women dresses,Fashion,215.00,107.00,13.00,3.00,68.26,13.65,22.75,583424.00,1403.00,Fashion,,
techno spark 6,Mobiles & Tablets,215.00,71.00,13.00,4.00,526.85,105.37,131.71,10585.00,158.00,EL,,
spinner dryer,Home Appliances,215.00,123.00,45.00,17.00,1687.16,80.34,99.24,360.00,259.00,EL,,
sexy nighty for girls,Fashion,215.00,67.00,13.00,5.00,42.47,7.08,8.49,8765.00,511.00,Fashion,,
baby bags,Mother & Baby,214.00,112.00,27.00,14.00,109.86,6.87,7.85,64272.00,1023.00,FMCG,,
lighters for smoking,Motors,214.00,96.00,19.00,10.00,41.34,4.13,4.13,104682.00,546.00,GM,,
hand bag for women,Bags and Travel,214.00,118.00,19.00,7.00,66.27,9.47,9.47,36051.00,1032.00,Fashion,,
girls watches stylish,Watches Sunglasses Jewellery,214.00,68.00,7.00,2.00,6.04,3.02,3.02,30203.00,602.00,Fashion,,
shoulder bags for girls,Bags and Travel,215.00,119.00,19.00,5.00,23.77,4.75,4.75,39040.00,1018.00,Fashion,,
tecno mobile,Mobiles & Tablets,214.00,127.00,38.00,15.00,7969.22,181.12,531.28,21545.00,308.00,EL,,
couple watch,Watches Sunglasses Jewellery,214.00,114.00,25.00,5.00,72.03,12.01,14.41,52618.00,1027.00,Fashion,,
underwear for girls,Fashion,214.00,84.00,15.00,4.00,10.16,2.03,2.54,50029.00,707.00,Fashion,,
scents n stories,Health & Beauty,214.00,130.00,49.00,15.00,102.48,5.69,6.83,208.00,205.00,FMCG,,
sex girl doll,Fashion,214.00,37.00,0.00,0.00,0.00,0.00,0.00,204857.00,378.00,Fashion,,
baby accessories organizer,Mother & Baby,213.00,49.00,6.00,2.00,3.59,1.80,1.80,9846.00,370.00,FMCG,,
perfumes,Health & Beauty,213.00,77.00,26.00,9.00,27.51,2.50,3.06,105408.00,802.00,FMCG,,
clocks for rooms,Furniture & Décor,213.00,114.00,41.00,23.00,74.50,2.87,3.24,415958.00,1018.00,GM,,
biscuits,Groceries,213.00,105.00,46.00,11.00,55.77,1.92,5.07,84916.00,487.00,FMCG,,
clothes,Fashion,213.00,48.00,5.00,2.00,2.47,0.62,1.24,2879047.00,975.00,Fashion,,
always pads,Health & Beauty,213.00,118.00,61.00,31.00,330.06,3.30,10.65,2335293.00,270.00,FMCG,,
nail glue,Health & Beauty,213.00,114.00,41.00,19.00,26.01,1.37,1.37,30667.00,320.00,FMCG,,
stickers,Furniture & Decor,213.00,55.00,16.00,5.00,11.16,1.86,2.23,774560.00,518.00,GM,,
sex girl doll toy for men pussy,Health & Beauty,213.00,25.00,4.00,2.00,8.15,4.07,4.07,1422.00,468.00,FMCG,,
woman dress,Fashion,212.00,55.00,3.00,0.00,0.00,0.00,0.00,563897.00,830.00,Fashion,,
micro wave oven,Home Appliances,212.00,121.00,33.00,16.00,1427.70,71.39,89.23,101639.00,578.00,EL,,
girls shoes,Fashion,212.00,76.00,11.00,5.00,24.65,4.93,4.93,127307.00,606.00,Fashion,,
eye shadow kit,Health & Beauty,212.00,132.00,32.00,12.00,39.72,2.48,3.31,11325.00,725.00,FMCG,,
foundation brush,Health & Beauty,212.00,134.00,68.00,29.00,50.65,1.69,1.75,36041.00,720.00,FMCG,,
cricket ball,Sports & Outdoors,212.00,106.00,37.00,7.00,27.62,3.45,3.95,19669.00,198.00,GM,,
bag for girls hand bag,Bags and Travel,212.00,92.00,10.00,4.00,22.36,5.59,5.59,16263.00,1018.00,Fashion,,
room decoration items for girls,Furniture & Decor,212.00,91.00,13.00,4.00,11.77,2.94,2.94,66249.00,360.00,GM,,
belt for girls,Fashion,211.00,98.00,25.00,12.00,87.29,3.49,7.27,52864.00,558.00,Fashion,,
mop,Laundry & Cleaning,211.00,136.00,53.00,29.00,238.82,7.96,8.24,165460.00,1018.00,GM,,
iphone 7 plus mobile phone,Mobiles & Tablets,211.00,23.00,4.00,1.00,3.37,3.37,3.37,155567.00,211.00,EL,,
smoke bomb,Toys & Games,212.00,129.00,63.00,28.00,70.08,2.19,2.50,45953.00,1031.00,GM,,
samsung a 32,Mobiles & Tablets,212.00,55.00,3.00,0.00,0.00,0.00,0.00,11741.00,169.00,EL,,
home appliances,Home Appliances,211.00,76.00,8.00,4.00,41.65,10.41,10.41,638025.00,1021.00,EL,,
drawer organizer,Health & Beauty,211.00,76.00,25.00,5.00,10.54,2.11,2.11,72123.00,319.00,FMCG,,
x box 360,TV Audio Video Gaming & Wearables,211.00,109.00,19.00,3.00,463.62,92.72,154.54,17701.00,459.00,EL,,
graphics card,Computers & Laptops,210.00,78.00,26.00,5.00,70.34,14.07,14.07,9338.00,439.00,EL,,
calculator,Stationery & Craft,210.00,94.00,29.00,10.00,66.21,6.62,6.62,25151.00,518.00,GM,,
pediasure,Mother & Baby,210.00,103.00,55.00,19.00,490.17,14.42,25.80,102.00,100.00,FMCG,,
android box,TV Audio Video Gaming & Wearables,209.00,91.00,24.00,4.00,78.63,19.66,19.66,21725.00,846.00,EL,,
bts photocards,Stationery & Craft,210.00,139.00,59.00,23.00,76.24,2.54,3.31,1109.00,340.00,GM,,
bts keychains,Motors,210.00,142.00,65.00,31.00,52.37,1.45,1.69,675.00,460.00,GM,,
bags for clothes,Furniture & Decor,210.00,85.00,47.00,29.00,94.26,3.14,3.25,77271.00,498.00,GM,,
peel off nail polish,Health & Beauty,210.00,135.00,67.00,32.00,102.04,2.83,3.19,6961.00,271.00,FMCG,,
birthday accessories for girls,Toys & Games,210.00,88.00,22.00,7.00,33.16,2.76,4.74,65762.00,760.00,GM,,
usb 32 gb,Computers & Laptops,210.00,124.00,56.00,22.00,140.82,5.22,6.40,11021.00,240.00,EL,,
pocket perfumes,Health & Beauty,210.00,113.00,55.00,22.00,58.12,2.42,2.64,3385.00,654.00,FMCG,,
blanket,Bedding & Bath,210.00,103.00,22.00,5.00,23.64,4.73,4.73,81923.00,640.00,GM,,
home decor items,Furniture & Decor,208.00,97.00,26.00,6.00,13.72,1.96,2.29,1334871.00,1787.00,GM,,
vaseline lotion,Health & Beauty,209.00,126.00,37.00,7.00,20.51,2.93,2.93,1105.00,215.00,FMCG,,
exercise machine,Sports & Outdoors,208.00,71.00,31.00,18.00,56.39,2.82,3.13,20517.00,1101.00,GM,,
gas geyser,Home Appliances,208.00,117.00,24.00,4.00,253.00,63.25,63.25,894.00,883.00,EL,,
night suit,Fashion,209.00,78.00,20.00,7.00,46.80,6.69,6.69,23636.00,988.00,Fashion,,
poppet,Toys & Games,209.00,97.00,15.00,6.00,23.58,3.37,3.93,1051.00,420.00,GM,,
stove,Home Appliances,209.00,109.00,15.00,2.00,19.07,9.54,9.54,66472.00,428.00,EL,,
baby,Mother & Baby,208.00,70.00,21.00,2.00,2.76,1.38,1.38,1403795.00,1127.00,FMCG,,
cup,Kitchen & Dining,208.00,69.00,14.00,3.00,7.60,2.53,2.53,702049.00,858.00,GM,,
pubg account for sale,Digital Goods,208.00,65.00,6.00,0.00,0.00,0.00,0.00,1008.00,170.00,Digital Goods,,
nivea cream,Health & Beauty,209.00,115.00,51.00,13.00,49.85,2.93,3.83,474.00,324.00,FMCG,,
cooking range,Home Appliances,208.00,98.00,12.00,1.00,170.78,170.78,170.78,13901.00,428.00,EL,,
mp3,TV Audio Video Gaming & Wearables,207.00,82.00,27.00,8.00,26.00,3.25,3.25,146285.00,560.00,EL,,
grinder machine,Tools DIY & Outdoor,207.00,77.00,12.00,3.00,24.41,8.14,8.14,106551.00,983.00,GM,,
unicorn pen,Stationery & Craft,208.00,121.00,43.00,9.00,13.93,1.39,1.55,929.00,329.00,GM,,
oil bottle,Kitchen & Dining,207.00,91.00,25.00,10.00,40.54,3.38,4.05,42102.00,838.00,GM,,
men jacket,Fashion,207.00,113.00,20.00,6.00,125.91,20.98,20.98,29432.00,839.00,Fashion,,
makup products,Health & Beauty,207.00,107.00,25.00,7.00,28.07,2.34,4.01,182617.00,1020.00,FMCG,,
induction cooker,Home Appliances,207.00,125.00,26.00,6.00,309.97,38.75,51.66,4563.00,729.00,EL,,
tripod stand,Cameras,207.00,135.00,69.00,27.00,139.92,4.51,5.18,178266.00,625.00,EL,,
audionic handsfree,TV Audio Video Gaming & Wearables,206.00,101.00,50.00,20.00,72.40,3.02,3.62,3008.00,489.00,EL,,
nike shoes for men,Fashion,206.00,70.00,1.00,0.00,0.00,0.00,0.00,23.00,23.00,Fashion,,
earings for girls,Watches Sunglasses Jewellery,207.00,87.00,14.00,2.00,5.59,2.80,2.80,148154.00,969.00,Fashion,,
pova 2,Mobiles & Tablets,207.00,153.00,103.00,52.00,33648.28,295.16,647.08,9890.00,120.00,EL,,
masalaywala,Groceries,206.00,150.00,67.00,18.00,63.76,1.06,3.54,489.00,342.00,FMCG,,
lunch box,Kitchen & Dining,206.00,102.00,15.00,5.00,27.47,4.58,5.49,28378.00,1056.00,GM,,
derma shine,Health & Beauty,206.00,93.00,44.00,17.00,155.94,8.66,9.17,1998.00,307.00,FMCG,,
geometry box for girls,Stationery & Craft,206.00,99.00,12.00,4.00,11.35,2.84,2.84,4101.00,780.00,GM,,
lip pencil,Health & Beauty,206.00,125.00,55.00,23.00,63.26,2.64,2.75,12858.00,280.00,FMCG,,
vegetable cutter,Kitchen & Dining,206.00,106.00,40.00,13.00,47.41,2.79,3.65,60634.00,596.00,GM,,
pendants for girls,Watches Sunglasses Jewellery,206.00,100.00,18.00,4.00,20.73,3.46,5.18,60499.00,1018.00,Fashion,,
laptop bags,Bags and Travel,205.00,108.00,29.00,10.00,94.38,9.44,9.44,84877.00,460.00,Fashion,,
dettol,Health & Beauty,205.00,98.00,55.00,26.00,424.69,7.58,16.33,250.00,258.00,FMCG,,
real me mobile,Mobiles & Tablets,205.00,80.00,13.00,0.00,0.00,0.00,0.00,113746.00,362.00,EL,,
tape,Stationery & Craft,206.00,77.00,42.00,13.00,22.41,1.60,1.72,302137.00,439.00,GM,,
ronin handfree,TV Audio Video Gaming & Wearables,206.00,96.00,40.00,9.00,50.27,5.03,5.59,840.00,588.00,EL,,
poco x3,Mobiles & Tablets,206.00,52.00,10.00,1.00,1.09,1.09,1.09,8325.00,300.00,EL,,
ponds lotion,Health & Beauty,206.00,129.00,48.00,15.00,38.23,2.25,2.55,450.00,449.00,FMCG,,
mens fashion,Fashion,205.00,44.00,2.00,1.00,13.25,4.42,13.25,1761162.00,358.00,Fashion,,
honda cd 70 motorcycle,Motors,205.00,117.00,41.00,7.00,11220.62,1020.06,1602.95,2848.00,840.00,GM,,
instant geyser electric,Home Appliances,205.00,122.00,16.00,5.00,223.69,44.74,44.74,6945.00,338.00,EL,,
fidget spinner,Toys & Games,205.00,87.00,30.00,12.00,34.91,2.05,2.91,15116.00,508.00,GM,,
track suit for men winter,Sports & Outdoors,205.00,106.00,24.00,6.00,57.09,8.16,9.52,5822.00,1018.00,GM,,
swing jhoola,Mother & Baby,205.00,129.00,26.00,3.00,129.40,43.13,43.13,64830.00,424.00,FMCG,,
ponds,Health & Beauty,205.00,76.00,22.00,7.00,15.29,1.70,2.18,26068.00,350.00,FMCG,,
i phone 12 pro max mobile,Mobiles & Tablets,203.00,70.00,10.00,0.00,0.00,0.00,0.00,556502.00,189.00,EL,,
hangers,Laundry & Cleaning,204.00,131.00,65.00,21.00,55.85,2.15,2.66,210185.00,850.00,GM,,
hair straightner,Health & Beauty,203.00,88.00,23.00,9.00,55.92,5.59,6.21,98301.00,785.00,FMCG,,
man shoes,Fashion,204.00,110.00,23.00,10.00,271.55,18.10,27.16,98434.00,1243.00,Fashion,,
gul ahmed sale,Fashion,204.00,71.00,5.00,2.00,32.74,16.37,16.37,3575.00,430.00,Fashion,,
fair and lovely,Health & Beauty,204.00,86.00,25.00,8.00,18.59,2.32,2.32,2038.00,190.00,FMCG,,
sex toys for women dildo,Health & Beauty,205.00,21.00,2.00,0.00,0.00,0.00,0.00,1456.00,460.00,FMCG,,
infinix zero x pro,Mobiles & Tablets,204.00,108.00,28.00,3.00,832.33,277.44,277.44,7176.00,269.00,EL,,
mobile phones infinix,Mobiles & Tablets,204.00,60.00,12.00,0.00,0.00,0.00,0.00,73503.00,308.00,EL,,
orange juice machine,Home Appliances,204.00,115.00,24.00,8.00,79.08,9.88,9.88,13501.00,576.00,EL,,
samsang,Mobiles & Tablets,204.00,77.00,12.00,2.00,360.67,180.34,180.34,1015438.00,230.00,EL,,
shirts for men,Fashion,204.00,69.00,10.00,4.00,32.35,4.62,8.09,170942.00,1019.00,Fashion,,
oppo a16,Mobiles & Tablets,203.00,87.00,24.00,4.00,1603.33,267.22,400.83,2423.00,543.00,EL,,
money heist,Fashion,203.00,45.00,11.00,4.00,21.94,4.39,5.48,6558.00,468.00,Fashion,,
gold chain,Watches Sunglasses Jewellery,203.00,51.00,2.00,0.00,0.00,0.00,0.00,130651.00,322.00,Fashion,,
ps3,TV Audio Video Gaming & Wearables,203.00,71.00,10.00,0.00,0.00,0.00,0.00,59766.00,288.00,EL,,
water pump,Kitchen & Dining,204.00,87.00,52.00,29.00,96.31,2.92,3.32,63012.00,653.00,GM,,
samsung mobiles,Mobiles & Tablets,205.00,107.00,20.00,0.00,0.00,0.00,0.00,824272.00,299.00,EL,,
wiresto,TV Audio Video Gaming & Wearables,203.00,124.00,73.00,38.00,564.91,11.77,14.87,230.00,227.00,EL,,
tissue box,Kitchen & Dining,203.00,92.00,34.00,13.00,60.00,4.29,4.62,22590.00,976.00,GM,,
basket,Laundry & Cleaning,202.00,80.00,14.00,5.00,11.49,2.30,2.30,213097.00,928.00,GM,,
baba dress,Mother & Baby,202.00,41.00,4.00,1.00,3.31,3.31,3.31,113886.00,539.00,FMCG,,
neon lights for room,Furniture & Décor,202.00,70.00,3.00,1.00,14.47,14.47,14.47,5291.00,390.00,GM,,
heating pad,Health & Beauty,202.00,87.00,22.00,14.00,240.05,15.00,17.15,72225.00,920.00,FMCG,,
gloves for kitchen,Laundry & Cleaning,202.00,132.00,76.00,35.00,102.61,2.63,2.93,43326.00,294.00,GM,,
teddy bear,Toys & Games,202.00,117.00,20.00,0.00,0.00,0.00,0.00,19638.00,338.00,GM,,
tile stickers,Furniture & Decor,202.00,151.00,74.00,35.00,109.21,2.48,3.12,46653.00,752.00,GM,,
toaster,Home Appliances,202.00,100.00,38.00,20.00,459.79,20.90,22.99,7249.00,363.00,EL,,
white board,Stationery & Craft,202.00,95.00,28.00,7.00,51.11,7.30,7.30,23975.00,1030.00,GM,,
vape shisha smoke,Motors,202.00,22.00,1.00,0.00,0.00,0.00,0.00,24163.00,318.00,GM,,
food,Groceries,202.00,50.00,8.00,0.00,0.00,0.00,0.00,1796377.00,338.00,FMCG,,
hand frees,TV Audio Video Gaming & Wearables,200.00,132.00,63.00,23.00,50.23,2.18,2.18,2122560.00,304.00,EL,,
study table for kids,Stationery & Craft,201.00,77.00,30.00,13.00,49.21,3.52,3.79,48780.00,389.00,GM,,
shirts for girls,Fashion,202.00,50.00,2.00,0.00,0.00,0.00,0.00,108556.00,418.00,Fashion,,
baby accessories toys,Toys & Games,201.00,25.00,4.00,0.00,0.00,0.00,0.00,231987.00,338.00,GM,,
hair spray,Health & Beauty,201.00,90.00,41.00,17.00,56.41,2.82,3.32,26464.00,423.00,FMCG,,
pens,Stationery & Craft,201.00,73.00,16.00,2.00,4.23,2.12,2.12,364360.00,603.00,GM,,
upper for girls,Fashion,201.00,61.00,3.00,0.00,0.00,0.00,0.00,4435.00,297.00,Fashion,,
tablets for kids,Mobiles & Tablets,201.00,90.00,14.00,2.00,246.75,82.25,123.37,5965277.00,198.00,EL,,
poco m3 pro,Mobiles & Tablets,201.00,39.00,3.00,1.00,1.56,1.56,1.56,2019.00,269.00,EL,,
infinix zero x neo,Mobiles & Tablets,200.00,113.00,52.00,9.00,1682.85,186.98,186.98,13574.00,218.00,EL,,
korean noodles,Groceries,200.00,103.00,38.00,12.00,47.88,3.42,3.99,865.00,700.00,FMCG,,
curtains,Furniture & Decor,200.00,111.00,27.00,9.00,85.69,9.52,9.52,78263.00,745.00,GM,,
curler,Health & Beauty,200.00,102.00,32.00,7.00,63.85,9.12,9.12,45812.00,440.00,FMCG,,
bts hoodie,Fashion,200.00,119.00,47.00,20.00,179.60,7.48,8.98,3037.00,288.00,Fashion,,
sound system,TV Audio Video Gaming & Wearables,202.00,80.00,7.00,2.00,106.95,53.48,53.48,758061.00,1086.00,EL,,
bag for girls school,Stationery & Craft,200.00,63.00,7.00,0.00,0.00,0.00,0.00,22029.00,575.00,GM,,
wireless charger,Mobiles & Tablets,200.00,91.00,26.00,12.00,117.10,8.36,9.76,43391.00,955.00,EL,,
hands free,TV Audio Video Gaming & Wearables,199.00,106.00,52.00,14.00,27.35,1.82,1.95,2278629.00,488.00,EL,,
hijab,Fashion,198.00,81.00,18.00,7.00,33.11,4.73,4.73,234570.00,697.00,Fashion,,
kitchen accessories chopper,Kitchen & Dining,198.00,69.00,32.00,12.00,41.45,3.19,3.45,55697.00,580.00,GM,,
oppo a95,Mobiles & Tablets,199.00,120.00,19.00,2.00,707.43,235.81,353.72,623.00,189.00,EL,,
mp3 player,TV Audio Video Gaming & Wearables,199.00,96.00,28.00,12.00,62.82,5.23,5.23,89532.00,360.00,EL,,
j dot dresses for women,Fashion,199.00,66.00,8.00,1.00,6.12,6.12,6.12,3400.00,288.00,Fashion,,
kitchen gadgets,Kitchen & Dining,199.00,79.00,18.00,2.00,4.17,2.08,2.08,53284.00,562.00,GM,,
